"","county","variable"
"1","State of Texas","State of Texas"
"2","Anderson","Anderson"
"3","Andrews","Andrews"
"4","Angelina","Angelina"
"5","Aransas","Aransas"
"6","Archer","Archer"
"7","Armstrong","Armstrong"
"8","Atascosa","Atascosa"
"9","Austin","Austin"
"10","Bailey","Bailey"
"11","Bandera","Bandera"
"12","Bastrop","Bastrop"
"13","Baylor","Baylor"
"14","Bee","Bee"
"15","Bell","Bell"
"16","Bexar","Bexar"
"17","Blanco","Blanco"
"18","Borden","Borden"
"19","Bosque","Bosque"
"20","Bowie","Bowie"
"21","Brazoria","Brazoria"
"22","Brazos","Brazos"
"23","Brewster","Brewster"
"24","Briscoe","Briscoe"
"25","Brooks","Brooks"
"26","Brown","Brown"
"27","Burleson","Burleson"
"28","Burnet","Burnet"
"29","Caldwell","Caldwell"
"30","Calhoun","Calhoun"
"31","Callahan","Callahan"
"32","Cameron","Cameron"
"33","Camp","Camp"
"34","Carson","Carson"
"35","Cass","Cass"
"36","Castro","Castro"
"37","Chambers","Chambers"
"38","Cherokee","Cherokee"
"39","Childress","Childress"
"40","Clay","Clay"
"41","Cochran","Cochran"
"42","Coke","Coke"
"43","Coleman","Coleman"
"44","Collin","Collin"
"45","Collingsworth","Collingsworth"
"46","Colorado","Colorado"
"47","Comal","Comal"
"48","Comanche","Comanche"
"49","Concho","Concho"
"50","Cooke","Cooke"
"51","Coryell","Coryell"
"52","Cottle","Cottle"
"53","Crane","Crane"
"54","Crockett","Crockett"
"55","Crosby","Crosby"
"56","Culberson","Culberson"
"57","Dallam","Dallam"
"58","Dallas","Dallas"
"59","Dawson","Dawson"
"60","De Witt","De Witt"
"61","Deaf Smith","Deaf Smith"
"62","Delta","Delta"
"63","Denton","Denton"
"64","Dickens","Dickens"
"65","Dimmit","Dimmit"
"66","Donley","Donley"
"67","Duval","Duval"
"68","Eastland","Eastland"
"69","Ector","Ector"
"70","Edwards","Edwards"
"71","El Paso","El Paso"
"72","Ellis","Ellis"
"73","Erath","Erath"
"74","Falls","Falls"
"75","Fannin","Fannin"
"76","Fayette","Fayette"
"77","Fisher","Fisher"
"78","Floyd","Floyd"
"79","Foard","Foard"
"80","Fort Bend","Fort Bend"
"81","Franklin","Franklin"
"82","Freestone","Freestone"
"83","Frio","Frio"
"84","Gaines","Gaines"
"85","Galveston","Galveston"
"86","Garza","Garza"
"87","Gillespie","Gillespie"
"88","Glasscock","Glasscock"
"89","Goliad","Goliad"
"90","Gonzales","Gonzales"
"91","Gray","Gray"
"92","Grayson","Grayson"
"93","Gregg","Gregg"
"94","Grimes","Grimes"
"95","Guadalupe","Guadalupe"
"96","Hale","Hale"
"97","Hall","Hall"
"98","Hamilton","Hamilton"
"99","Hansford","Hansford"
"100","Hardeman","Hardeman"
"101","Hardin","Hardin"
"102","Harris","Harris"
"103","Harrison","Harrison"
"104","Hartley","Hartley"
"105","Haskell","Haskell"
"106","Hays","Hays"
"107","Hemphill","Hemphill"
"108","Henderson","Henderson"
"109","Hidalgo","Hidalgo"
"110","Hill","Hill"
"111","Hockley","Hockley"
"112","Hood","Hood"
"113","Hopkins","Hopkins"
"114","Houston","Houston"
"115","Howard","Howard"
"116","Hudspeth","Hudspeth"
"117","Hunt","Hunt"
"118","Hutchinson","Hutchinson"
"119","Irion","Irion"
"120","Jack","Jack"
"121","Jackson","Jackson"
"122","Jasper","Jasper"
"123","Jeff Davis","Jeff Davis"
"124","Jefferson","Jefferson"
"125","Jim Hogg","Jim Hogg"
"126","Jim Wells","Jim Wells"
"127","Johnson","Johnson"
"128","Jones","Jones"
"129","Karnes","Karnes"
"130","Kaufman","Kaufman"
"131","Kendall","Kendall"
"132","Kenedy","Kenedy"
"133","Kent","Kent"
"134","Kerr","Kerr"
"135","Kimble","Kimble"
"136","King","King"
"137","Kinney","Kinney"
"138","Kleberg","Kleberg"
"139","Knox","Knox"
"140","La Salle","La Salle"
"141","Lamar","Lamar"
"142","Lamb","Lamb"
"143","Lampasas","Lampasas"
"144","Lavaca","Lavaca"
"145","Lee","Lee"
"146","Leon","Leon"
"147","Liberty","Liberty"
"148","Limestone","Limestone"
"149","Lipscomb","Lipscomb"
"150","Live Oak","Live Oak"
"151","Llano","Llano"
"152","Loving","Loving"
"153","Lubbock","Lubbock"
"154","Lynn","Lynn"
"155","Madison","Madison"
"156","Marion","Marion"
"157","Martin","Martin"
"158","Mason","Mason"
"159","Matagorda","Matagorda"
"160","Maverick","Maverick"
"161","McCulloch","McCulloch"
"162","McLennan","McLennan"
"163","McMullen","McMullen"
"164","Medina","Medina"
"165","Menard","Menard"
"166","Midland","Midland"
"167","Milam","Milam"
"168","Mills","Mills"
"169","Mitchell","Mitchell"
"170","Montague","Montague"
"171","Montgomery","Montgomery"
"172","Moore","Moore"
"173","Morris","Morris"
"174","Motley","Motley"
"175","Nacogdoches","Nacogdoches"
"176","Navarro","Navarro"
"177","Newton","Newton"
"178","Nolan","Nolan"
"179","Nueces","Nueces"
"180","Ochiltree","Ochiltree"
"181","Oldham","Oldham"
"182","Orange","Orange"
"183","Palo Pinto","Palo Pinto"
"184","Panola","Panola"
"185","Parker","Parker"
"186","Parmer","Parmer"
"187","Pecos","Pecos"
"188","Polk","Polk"
"189","Potter","Potter"
"190","Presidio","Presidio"
"191","Rains","Rains"
"192","Randall","Randall"
"193","Reagan","Reagan"
"194","Real","Real"
"195","Red River","Red River"
"196","Reeves","Reeves"
"197","Refugio","Refugio"
"198","Roberts","Roberts"
"199","Robertson","Robertson"
"200","Rockwall","Rockwall"
"201","Runnels","Runnels"
"202","Rusk","Rusk"
"203","Sabine","Sabine"
"204","San Augustine","San Augustine"
"205","San Jacinto","San Jacinto"
"206","San Patricio","San Patricio"
"207","San Saba","San Saba"
"208","Schleicher","Schleicher"
"209","Scurry","Scurry"
"210","Shackelford","Shackelford"
"211","Shelby","Shelby"
"212","Sherman","Sherman"
"213","Smith","Smith"
"214","Somervell","Somervell"
"215","Starr","Starr"
"216","Stephens","Stephens"
"217","Sterling","Sterling"
"218","Stonewall","Stonewall"
"219","Sutton","Sutton"
"220","Swisher","Swisher"
"221","Tarrant","Tarrant"
"222","Taylor","Taylor"
"223","Terrell","Terrell"
"224","Terry","Terry"
"225","Throckmorton","Throckmorton"
"226","Titus","Titus"
"227","Tom Green","Tom Green"
"228","Travis","Travis"
"229","Trinity","Trinity"
"230","Tyler","Tyler"
"231","Upshur","Upshur"
"232","Upton","Upton"
"233","Uvalde","Uvalde"
"234","Val Verde","Val Verde"
"235","Van Zandt","Van Zandt"
"236","Victoria","Victoria"
"237","Walker","Walker"
"238","Waller","Waller"
"239","Ward","Ward"
"240","Washington","Washington"
"241","Webb","Webb"
"242","Wharton","Wharton"
"243","Wheeler","Wheeler"
"244","Wichita","Wichita"
"245","Wilbarger","Wilbarger"
"246","Willacy","Willacy"
"247","Williamson","Williamson"
"248","Wilson","Wilson"
"249","Winkler","Winkler"
"250","Wise","Wise"
"251","Wood","Wood"
"252","Yoakum","Yoakum"
"253","Young","Young"
"254","Zapata","Zapata"
"255","Zavala","Zavala"
